id,user_id,admin_id,category,description,ip_address,browser,type,created_at,updated_at
1141,90,,"Additional Deposits","writer has declined additional deposits",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T16:20:33.000000Z,2022-08-22T16:20:33.000000Z
1140,101,,"Additional Deposit Request","writer sent additional deposit request to client",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T15:26:58.000000Z,2022-08-22T15:26:58.000000Z
1139,90,,"Additional Deposits","writer has declined additional deposits",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T15:12:20.000000Z,2022-08-22T15:12:20.000000Z
1138,101,,"Additional Deposit Request","writer sent additional deposit request to client",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T15:12:17.000000Z,2022-08-22T15:12:17.000000Z
1137,90,,"Additional Deposits","writer has declined additional deposits",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T15:12:08.000000Z,2022-08-22T15:12:08.000000Z
1136,90,,"Workstream Created","Client created workstream",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T13:00:00.000000Z,2022-08-22T13:00:00.000000Z
1135,101,,"Add Proposal","Writer added a proposal on < p >adklsj fsdaf< /p > project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-22T12:59:39.000000Z,2022-08-22T12:59:39.000000Z
1134,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-22T12:58:05.000000Z,2022-08-22T12:58:05.000000Z
1133,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-22T09:22:43.000000Z,2022-08-22T09:22:43.000000Z
1132,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-22T09:22:26.000000Z,2022-08-22T09:22:26.000000Z
1131,90,,"Project Edit","User edit < p >adklsj fsdaf< /p > project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-20T10:56:42.000000Z,2022-08-20T10:56:42.000000Z
1130,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-20T09:03:35.000000Z,2022-08-20T09:03:35.000000Z
1129,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",admin,2022-08-20T08:59:26.000000Z,2022-08-20T08:59:26.000000Z
1128,107,,Signup,"User Signup",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T16:37:57.000000Z,2022-08-19T16:37:57.000000Z
1127,107,,Signin,"User Signin",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",user,2022-08-19T16:37:56.000000Z,2022-08-19T16:37:56.000000Z
